wallet_address,in_scope_trade_count,in_scope_volume_usd,clean_volume_usd_lifetime,wash_vol_share,h1_middling_conviction,h2_anomalous_size,h3_specialist,h4_excess_accuracy,composite_score,h1_hits_count,h2_hits_count,composite_rank
0xee50a31c3f5a7c77824b12a941a54388a2827ed6,1025,1322166.34,2083004.37,0.008,1.0,1.0,0.0,0.0,0.6,14,80,1
0xc90ee7cb58d79756f5064770fa90c06788cc4ef5,13,16904.91,17925.07,0.0,0.0,1.0,0.2829,0.9905,0.4901,0,3,2
0xaa0f9278293573f4f8ec1b7cdc19ba6fa480ab1c,431,159403.4,170944.61,0.0012,0.0,1.0,0.2043,1.0,0.4806,0,18,3
0xdab9ec39003d08acb352d011bb5fa8aa54c4b1e4,44,8992.53,8992.53,0.0,0.0,0.3333,1.0,1.0,0.4667,0,1,4
0x4d49acb0ae1c463eb5b1947d174141b812ba7450,125,1019274.7,8032798.81,0.1929,0.0,1.0,0.0,1.0,0.45,0,23,5
0x1b45b1a3cedccf21862edd86a58d286305d4ea09,437,176170.29,870070.37,0.0674,0.0,1.0,0.0,1.0,0.45,0,6,6
0x82a7183f93447d7a8ff5b4bd08eb0d74de266ed8,7,252619.48,7789731.88,0.0,0.0,1.0,0.0,1.0,0.45,0,4,7
0x6ce22b6a995836c09871cdc9242b094d9e15e868,148,629986.05,1337241.49,0.2025,0.0,1.0,0.0,1.0,0.45,0,49,8
0x5607e051300abf498a988eab909dde03c899fd15,23,46889.55,557016.12,0.2135,0.0,1.0,0.0,1.0,0.45,0,8,9
0x57c5de7efafb020e589f80e0da6e16e9b5c907aa,30,161358.25,6415662.13,0.102,0.0,1.0,0.0,1.0,0.45,0,7,10
0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,149,95877.16,1393852.57,0.0259,0.0,1.0,0.0,1.0,0.45,0,10,11
0xdf1b70066e58788c7b05c53dd9cc4fd412d2b963,77,170613.51,3839257.71,0.1161,0.0,1.0,0.0,1.0,0.45,0,9,12
0x9f83f83bdfc209c6fade8a2c77ea9667e9176cd9,15,42149.16,577786.89,0.2549,0.0,1.0,0.0,1.0,0.45,0,4,13
0xf9b6943d8cce124603a8c7ef8a02191a487761ce,15,78782.56,1602450.87,0.4699,0.0,1.0,0.0,1.0,0.45,0,7,14
0xd6ce651998b7a30ff3384e5a01feab8a2da00772,87,104824.94,1099909.55,0.2991,0.0,1.0,0.0,1.0,0.45,0,13,15
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,54,129479.96,2199148.23,0.0752,0.0,1.0,0.0,1.0,0.45,0,13,16
0xf0d9af9effd0b4a039899901ba19a05ea1a3e4ee,74,138220.25,1883727.12,0.1274,0.0,1.0,0.0,1.0,0.45,0,3,17
0x995937f2b90f0235b9773baa4bc83455ada8d99b,30,44134.91,255864.11,0.0597,0.0,1.0,0.0,1.0,0.45,0,5,18
0xf36ca6d2bbe5c1f761dfe09af614196f85eb49e5,6,46619.98,123196.6,0.1834,0.0,1.0,0.0,1.0,0.45,0,4,19
0xb18cc2896c1c8f984dfad2ddf673306e3a2ab41e,19,53679.26,355595.56,0.0033,0.0,1.0,0.0,1.0,0.45,0,4,20
0xd904ab5a9a24d704eac4a82d99527b68cded4295,18,35722.18,409947.16,0.1812,0.0,1.0,0.0,1.0,0.45,0,3,21
0x0b644e443a404159a7b5ca4650cf2444b13549bd,6,29342.69,323180.07,0.4957,0.0,1.0,0.0,1.0,0.45,0,4,22
0xf98b622967de1bfc84585ea7abdf1f9199a3bfc5,10,53171.16,654124.9,0.341,0.0,1.0,0.0,1.0,0.45,0,5,23
0x357ecb1969b0a288d37e6a28223e620ef2082a0c,12,37511.98,523747.4,0.19,0.0,1.0,0.0,1.0,0.45,0,5,24
0x662244931c392df70bd064fa91f838eea0bfd7a9,27,52041.02,403756.62,0.4665,0.0,1.0,0.0,1.0,0.45,0,7,25
0x9578af80708f271f705e27867dcf6ec653acf066,283,24200.22,103065.5,0.1934,0.0,1.0,0.0,1.0,0.45,0,5,26
0xe4ccbf5b355b5ae2044c3829fa12703365a8d15b,55,249165.58,2540575.43,0.0,0.0,1.0,0.0,1.0,0.45,0,6,27
0xe639e41094bbeae18f3e6d1790c17299183f082a,15,48624.11,5199912.9,0.1471,0.0,1.0,0.0,1.0,0.45,0,4,28
0xda9f7647c58deb560ca7d85e2b7ea55ef489d7f6,170,29568.56,56237.61,0.0,0.0,1.0,0.0,1.0,0.45,0,6,29
0xec48c76b149c9426eef806e44c68f0b1e5120bd6,55,29182.63,83055.72,0.3819,0.0,1.0,0.0,1.0,0.45,0,3,30
0x211e247d8e7f68b78fdace32249ac16c8fd335dd,6,19194.15,1076840.6,0.1006,0.0,1.0,0.0,1.0,0.45,0,4,31
0x3b485b0f894b391c04399efcf4e6b0648233050c,44,10701.04,161081.34,0.3648,0.0,1.0,0.0,1.0,0.45,0,3,32
0xd98635c6bafebb11787bdbfd80688612d1bc1320,58,22269.51,305547.22,0.1615,0.0,1.0,0.0,1.0,0.45,0,6,33
0x8964b58c08b784ecfe1d9344223692263d130bec,94,41931.74,383643.17,0.2709,0.0,1.0,0.0,1.0,0.45,0,3,34
0x991b8cdcdc18b74eef8db47a9e89ff0f17a4f19a,113,12539.87,302261.18,0.2499,0.0,1.0,0.0,1.0,0.45,0,3,35
0xe50426e53bc1485ee7d1ae741c606e2b679770ef,179,48341.87,340158.4,0.3333,0.0,1.0,0.0,1.0,0.45,0,11,36
